Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,086142,1953,21.3,21.1,20.9,16.4,11.7,8.3,8.4,8.5,11.2,14.4,16.4,20.4,14.9
IDCJAC0002,086142,1954,23.8,18.1,null,15.7,11.6,8.7,8.8,9.8,12.5,15.2,17.1,20.6,null
IDCJAC0002,086142,1955,23.3,21.3,18.9,15.6,10.5,8.6,7.7,null,12.6,14.2,15.2,17.9,null
IDCJAC0002,086142,1956,20.3,24.0,20.7,13.9,10.6,8.1,7.6,7.6,11.1,11.6,13.1,18.1,13.9
IDCJAC0002,086142,1965,19.8,22.8,19.8,13.2,11.8,9.6,7.8,10.3,13.5,16.7,15.9,21.5,15.2
IDCJAC0002,086142,1966,24.0,20.4,19.3,14.5,11.1,8.9,7.1,9.1,11.4,13.9,17.8,19.0,14.7
IDCJAC0002,086142,1967,21.5,23.8,20.4,16.9,13.1,11.5,8.7,9.0,11.8,16.9,18.5,18.9,15.9
IDCJAC0002,086142,1968,24.8,26.8,23.2,17.6,9.5,8.1,7.5,9.0,11.1,14.1,16.1,19.3,15.6
IDCJAC0002,086142,1969,25.0,22.8,19.3,15.7,11.2,9.4,9.8,10.9,8.9,15.6,17.3,18.5,15.4
IDCJAC0002,086142,1970,21.2,23.9,19.4,16.6,10.4,10.0,8.4,8.7,10.9,15.0,18.1,20.8,15.3
IDCJAC0002,086142,1971,23.0,23.9,22.9,17.8,12.9,9.6,10.5,11.1,16.2,18.4,20.6,24.1,17.6
IDCJAC0002,086142,1972,22.2,24.4,23.7,18.3,16.4,10.6,9.0,10.7,14.5,16.4,18.7,24.5,17.4
IDCJAC0002,086142,1973,25.7,23.2,16.0,16.5,12.0,9.2,9.9,9.8,13.2,16.0,16.1,21.8,15.8
IDCJAC0002,086142,1974,24.8,22.5,23.4,15.2,13.0,9.9,8.6,9.4,10.6,14.4,15.9,19.7,15.6
IDCJAC0002,086142,1975,20.6,24.6,19.3,14.7,13.2,10.1,10.5,8.9,13.0,14.7,18.7,21.5,15.8
IDCJAC0002,086142,1976,21.9,24.4,20.7,16.4,11.7,9.1,9.0,9.5,11.6,12.6,16.7,20.3,15.3
IDCJAC0002,086142,1977,22.3,23.8,19.5,13.7,11.6,8.0,8.0,12.0,10.9,16.9,18.0,21.4,15.5
IDCJAC0002,086142,1978,21.3,20.9,20.4,15.4,13.7,9.6,8.0,8.6,12.2,15.4,17.7,18.6,15.1
IDCJAC0002,086142,1979,24.7,23.9,21.4,14.0,11.2,11.2,8.5,9.5,12.0,15.2,18.5,22.2,16.0
IDCJAC0002,086142,1980,20.5,23.1,20.0,18.0,13.8,9.1,8.4,10.8,13.4,16.3,19.6,22.6,16.3
IDCJAC0002,086142,1981,26.6,24.5,19.3,17.8,12.7,8.6,7.6,8.6,14.0,16.8,17.0,20.3,16.1
IDCJAC0002,086142,1982,25.6,24.7,21.3,16.4,11.5,8.2,8.0,13.0,11.7,15.7,21.9,22.5,16.7
IDCJAC0002,086142,1983,22.1,27.7,21.9,14.9,12.5,8.7,8.1,10.4,11.8,14.5,17.3,21.2,15.9
IDCJAC0002,086142,1984,20.0,22.5,17.5,15.7,13.2,9.6,8.0,9.2,9.9,14.8,17.9,18.7,14.7
IDCJAC0002,086142,1985,20.2,22.1,21.5,17.1,12.8,8.3,7.5,9.1,11.1,15.6,null,null,null
IDCJAC0002,086142,1986,null,null,null,null,null,7.8,7.4,null,null,null,null,null,null
IDCJAC0002,086142,1987,20.9,22.8,16.8,16.7,11.6,10.0,8.2,9.4,12.6,14.3,17.9,19.4,15.0
IDCJAC0002,086142,1989,20.5,22.7,20.4,16.3,13.2,9.0,7.8,8.0,11.9,14.1,18.0,20.9,15.2
IDCJAC0002,086142,1990,22.9,21.2,20.5,15.5,12.4,8.8,8.9,8.4,12.1,15.7,17.9,21.8,15.5
IDCJAC0002,086142,1991,22.4,23.5,20.1,15.5,12.1,11.3,8.5,8.3,11.0,16.4,17.2,19.1,15.5
IDCJAC0002,086142,1992,17.6,20.0,20.1,16.3,12.3,8.9,8.5,8.4,9.0,15.1,15.1,20.7,14.3
IDCJAC0002,086142,1993,22.6,20.9,18.4,17.5,12.3,8.0,10.0,11.3,12.1,14.5,16.6,18.3,15.2
IDCJAC0002,086142,1994,19.6,null,null,null,13.3,10.1,9.5,8.7,10.0,15.6,16.5,24.0,null
IDCJAC0002,086142,1995,23.4,23.0,18.0,12.7,11.2,8.9,6.9,11.4,11.6,14.6,19.4,16.3,14.8
IDCJAC0002,086142,1996,22.0,20.1,20.5,13.0,12.2,10.2,8.5,9.4,12.2,16.6,17.2,17.4,14.9
IDCJAC0002,086142,1997,23.7,26.7,20.3,15.1,12.0,10.6,7.7,9.2,12.6,15.3,20.0,21.6,16.2
IDCJAC0002,086142,1998,25.1,25.6,22.0,15.5,12.8,9.8,7.7,11.8,14.3,12.6,18.5,21.3,16.4
IDCJAC0002,086142,1999,25.2,24.7,20.1,14.1,14.1,10.8,10.3,11.5,15.3,16.4,17.9,22.9,16.9
IDCJAC0002,086142,2000,21.8,27.5,21.4,18.5,12.3,9.3,9.4,10.2,12.5,15.0,20.5,24.0,16.9
IDCJAC0002,086142,2001,27.1,26.5,21.2,17.1,12.2,11.6,10.4,10.1,15.1,14.9,17.0,18.0,16.8
IDCJAC0002,086142,2002,21.2,21.9,21.1,19.5,13.5,11.0,9.9,10.7,13.4,17.2,21.7,21.3,16.9
IDCJAC0002,086142,2003,24.8,24.3,21.8,16.7,14.1,10.1,9.6,9.7,12.0,12.4,19.2,25.5,16.7
IDCJAC0002,086142,2004,21.7,23.6,19.9,17.7,11.4,9.8,7.8,10.6,12.2,17.2,18.2,22.9,16.1
